v_single	v_exponential	v_powerlaw	n_R_single	n_R_exponential	n_R_powerlaw
1.929999999999994220e-02	1.092999999999996232e-02	1.929999999999994220e-02	1.924392747177552154e+00	1.596662247523976008e+00	2.336080435140915235e+00
1.939999999999994507e-02	1.093999999999996191e-02	1.939999999999994507e-02	1.933654176693016868e+00	1.597860879069399775e+00	2.355514889369478837e+00
1.949999999999994099e-02	1.094999999999996150e-02	1.949999999999994099e-02	1.943005181347144950e+00	1.599062133645950956e+00	2.375314861460945615e+00
1.959999999999994386e-02	1.095999999999996109e-02	1.959999999999994386e-02	1.952447066990623092e+00	1.600266019873244794e+00	2.395490761145945946e+00
1.969999999999993978e-02	1.096999999999996069e-02	1.969999999999993978e-02	1.961981164980810544e+00	1.601472546408705178e+00	2.416053397227439170e+00
1.979999999999994265e-02	1.097999999999996028e-02	1.979999999999994265e-02	1.971608832807565603e+00	1.602681721947772253e+00	2.437013996889568546e+00
1.989999999999993857e-02	1.098999999999995987e-02	1.989999999999993857e-02	1.981331454737577769e+00	1.603893555224110035e+00	2.458384226138531581e+00
1.999999999999994144e-02	1.099999999999995946e-02	1.999999999999994144e-02	1.991150442477870541e+00	1.605108055009818457e+00	2.480176211453732016e+00
2.009999999999993736e-02	1.100999999999995906e-02	2.009999999999993736e-02	2.001067235859118831e+00	1.606325230115642988e+00	2.502402562733568647e+00
2.019999999999994023e-02	1.101999999999995865e-02	2.019999999999994023e-02	2.011083303539500822e+00	1.607545089391190007e+00	2.525076397627166180e+00
2.029999999999993615e-02	1.102999999999995824e-02	2.029999999999993615e-02	2.021200143729781740e+00	1.608767641725138864e+00	2.548211367350630141e+00
2.039999999999993902e-02	1.103999999999995783e-02	2.039999999999993902e-02	2.031419284940405579e+00	1.609992896045460142e+00	2.571821684094647509e+00
2.049999999999993494e-02	1.104999999999995743e-02	2.049999999999993494e-02	2.041742286751354385e+00	1.611220861319631492e+00	2.595922150139001960e+00
2.059999999999993781e-02	1.105999999999995702e-02	2.059999999999993781e-02	2.052170740605611776e+00	1.612451546554856119e+00	2.620528188799385649e+00
2.069999999999993373e-02	1.106999999999995661e-02	2.069999999999993373e-02	2.062706270627055805e+00	1.613684960798284163e+00	2.645655877342402373e+00
2.079999999999993660e-02	1.107999999999995620e-02	2.079999999999993660e-02	2.073350534463686667e+00	1.614921113137234077e+00	2.671321982016436891e+00
2.089999999999993252e-02	1.108999999999995580e-02	2.089999999999993252e-02	2.084105224157088099e+00	1.616160012699415116e+00	2.697543995358713698e+00
2.099999999999993539e-02	1.109999999999995539e-02	2.099999999999993539e-02	2.094972067039098995e+00	1.617401668653153157e+00	2.724340175953062548e+00
2.109999999999993131e-02	1.110999999999995498e-02	2.109999999999993131e-02	2.105952826656675825e+00	1.618646090207615185e+00	2.751729590828208227e+00
2.119999999999993417e-02	1.111999999999995457e-02	2.119999999999993417e-02	2.117049303725999643e+00	1.619893286613038885e+00	2.779732160703559884e+00
2.129999999999993010e-02	1.112999999999995417e-02	2.129999999999993010e-02	2.128263337116904630e+00	1.621143267160960688e+00	2.808368708308045747e+00
2.139999999999993296e-02	1.113999999999995376e-02	2.139999999999993296e-02	2.139596804868763691e+00	1.622396041184446247e+00	2.837661010018381891e+00
2.149999999999992889e-02	1.114999999999995335e-02	2.149999999999992889e-02	2.151051625238997733e+00	1.623651618058324253e+00	2.867631851085810979e+00
2.159999999999993175e-02	1.115999999999995294e-02	2.159999999999993175e-02	2.162629757785459184e+00	1.624910007199418249e+00	2.898305084745742111e+00
2.169999999999992768e-02	1.116999999999995254e-02	2.169999999999992768e-02	2.174333204483950066e+00	1.626171218066783553e+00	2.929705695532478060e+00
2.179999999999993054e-02	1.117999999999995213e-02	2.179999999999993054e-02	2.186164010882230890e+00	1.627435260161943731e+00	2.961859867152324632e+00
2.189999999999992647e-02	1.118999999999995172e-02	2.189999999999992647e-02	2.198124267291902356e+00	1.628702143029129523e+00	2.994795055302513109e+00
2.199999999999992933e-02	1.119999999999995131e-02	2.199999999999992933e-02	2.210216110019637803e+00	1.629971876255518204e+00	3.028540065861667241e+00
2.209999999999992526e-02	1.120999999999995091e-02	2.209999999999992526e-02	2.222441722639263872e+00	1.631244469471476499e+00	3.063125138919734258e+00
2.219999999999992812e-02	1.121999999999995050e-02	2.219999999999992812e-02	2.234803337306308535e+00	1.632519932350803060e+00	3.098582039162702806e+00
2.229999999999992405e-02	1.122999999999995009e-02	2.229999999999992405e-02	2.247303236116650726e+00	1.633798274610974932e+00	3.134944153179822113e+00
2.239999999999992691e-02	1.123999999999994968e-02	2.239999999999992691e-02	2.259943752511039516e+00	1.635079506013392692e+00	3.172246594319991786e+00
2.249999999999992284e-02	1.124999999999994928e-02	2.249999999999992284e-02	2.272727272727263159e+00	1.636363636363630025e+00	3.210526315789444141e+00
2.259999999999992570e-02	1.125999999999994887e-02	2.259999999999992570e-02	2.285656237301900262e+00	1.637650675511683529e+00	3.249822232756548690e+00
2.269999999999992163e-02	1.126999999999994846e-02	2.269999999999992163e-02	2.298733142623611059e+00	1.638940633352224729e+00	3.290175354311762668e+00
